,DQF-00358,DQF-00248,DAF-00396,DHF-01055,DHF-01159,DAF-00280,DAF-00349,DAF-00442,DHF-01440,DAF-00351,DAF-00416,DCF-00198,DCF-00199,DCF-00104,DAF-00482,DCF-00197,DC2-00001,DAF-00367,DAF-00281,DAF-00419,DHF-01444,DAF-00437,DAF-00350,DHF-01540,DHF-01528,DCF-00173,DHF-01332,DHF-01334,DHF-01030,DAF-00283,DDF-00078,DHF-00847,DAF-00375,DAF-00399,DAF-00420,DAF-00443,DAF-00288,DAF-00502,DAF-00498,DHF-01406,DQF-00362,DAF-00517,DAF-00518,DAF-00491,DAF-00444,DHF-01530,DAF-00516,DAF-00512,DHF-01437,DAF-00284,DCF-00206,DHF-01436,DDF-00122,DHF-01438,DAF-00499,DAF-00488,DHF-01439,DHF-01441,DHF-01038,DHF-01550,DCF-00203,DAF-00451,DHF-01333,DAF-00448,DHF-01031,DAF-00460,DHF-00826,DAF-00464,DHF-01242,DAF-00385,DAF-00449,DHF-01529,DHF-01029,DHF-01037,DAF-00465,DHF-00927,DAF-00462,DHF-00881,DCF-00205,DAF-00450,DCF-00204,DAF-00504,DR5-00001,DHF-01331,DHF-01512,DCF-00252,DHF-01056,DAF-00255,DHF-00533,DAF-00503,DHF-00890,DHF-00905,DHF-00904,DHF-00894,DCF-00253,DHF-01080,DCF-00087,DCF-00085,DCF-00086,DCF-00254,DHF-00907
DAF-00416,0.05,0.7828947368421053,0.022727272727272728,0.03305785123966942,0.035211267605633804,0.10344827586206896,0.09868421052631579,0.030303030303030304,0.0,0.02912621359223301,1.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.09090909090909091,0.15384615384615385,0.05454545454545454,0.10833333333333334,0.0,0.04,0.030927835051546393,0.0,0.006578947368421052,0.0,0.0,0.0,0.02127659574468085,0.046511627906976744,0.0,0.12121212121212122,0.056338028169014086,0.13636363636363635,0.03125,0.0,0.13157894736842105,0.07692307692307693,0.07692307692307693,0.16901408450704225,0.020134228187919462,0.046052631578947366,0.008928571428571428,0.08620689655172414,0.05405405405405406,0.039473684210526314,0.0,0.0,0.0,0.07692307692307693,0.034482758620689655,0.01098901098901099,0.02702702702702703,0.041666666666666664,0.05,0.06,0.0,0.0,0.010752688172043012,0.03571428571428571,0.0,0.05128205128205128,0.0,0.17105263157894737,0.0,0.06862745098039216,0.07142857142857142,0.027777777777777776,0.23333333333333334,0.08695652173913043,0.08,0.05555555555555555,0.0,0.0,0.043478260869565216,0.0,0.13333333333333333,0.0,0.0,0.07058823529411765,0.0,0.12,0.0,0.0,0.008264462809917356,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023529411764705882,0.0,0.030303030303030304,0.0392156862745098,0.023255813953488372,0.0,0.0
DCF-00198,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.023255813953488372,0.046511627906976744,0.6842105263157895,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.043478260869565216,0.09302325581395349,0.0,0.3023255813953488,0.26666666666666666,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.06976744186046512,0.0,0.0,0.0,0.023255813953488372,0.046511627906976744,0.023255813953488372,0.0,0.0,0.023255813953488372,0.024390243902439025,0.0,0.023255813953488372,0.0,0.1724137931034483,0.023255813953488372,0.023255813953488372,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.13513513513513514,0.0,0.21212121212121213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17142857142857143,0.0,0.16,0.0,0.13793103448275862,0.36666666666666664,0.09302325581395349,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.06060606060606061,0.06976744186046512,0.046511627906976744,0.0,0.0
DCF-00199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.027777777777777776,0.05555555555555555,0.7222222222222222,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.043478260869565216,0.05555555555555555,0.0,0.2777777777777778,0.2,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.027777777777777776,0.027777777777777776,0.0,0.0,0.027777777777777776,0.0,0.0,0.027777777777777776,0.0,0.1724137931034483,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19444444444444445,0.0,0.15151515151515152,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.027777777777777776,0.027777777777777776,0.0,0.0,0.0,0.0,0.2571428571428571,0.0,0.2,0.0,0.10344827586206896,0.23333333333333334,0.05555555555555555,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.05555555555555555,0.0,0.0
DCF-00104,0.016666666666666666,0.10606060606060606,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.15789473684210525,0.0,0.0,0.023255813953488372,0.027777777777777776,1.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.015151515151515152,0.3333333333333333,0.04,0.0,0.0,0.06060606060606061,0.13333333333333333,0.058823529411764705,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.015151515151515152,0.0,0.0,0.015151515151515152,0.0,0.030303030303030304,0.015151515151515152,0.017241379310344827,0.0,0.030303030303030304,0.024390243902439025,0.0,0.35,0.0,0.034482758620689655,0.3787878787878788,0.045454545454545456,0.16666666666666666,0.05,0.02,0.24,0.15384615384615385,0.015151515151515152,0.030303030303030304,0.0,0.02564102564102564,0.0,0.015151515151515152,0.046511627906976744,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.030303030303030304,0.0,0.20833333333333334,0.0,0.4,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.21212121212121213,0.0,0.0,0.0196078431372549,0.023255813953488372,0.0,0.0
DAF-00482,0.016666666666666666,0.6956521739130435,0.06818181818181818,0.0,0.008695652173913044,0.13793103448275862,0.4,0.06956521739130435,0.0,0.1941747572815534,0.043478260869565216,0.046511627906976744,0.05555555555555555,0.0,1.0,0.05263157894736842,0.0,0.0,0.05454545454545454,0.02608695652173913,0.0,0.08,0.16494845360824742,0.0,0.017391304347826087,0.03333333333333333,0.0196078431372549,0.0,0.0,0.13953488372093023,0.1,0.030303030303030304,0.056338028169014086,0.045454545454545456,0.078125,0.2222222222222222,0.2,0.07692307692307693,0.038461538461538464,0.0,0.008695652173913044,0.017391304347826087,0.0,0.05172413793103448,0.16216216216216217,0.017391304347826087,0.0,0.0,0.0,0.15384615384615385,0.034482758620689655,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.0782608695652174,0.023255813953488372,0.058823529411764705,0.0,0.027777777777777776,0.06666666666666667,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.07058823529411765,0.0,0.04,0.0,0.0,0.017391304347826087,0.0,0.0,0.03225806451612903,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCF-00197,0.0,0.02631578947368421,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6842105263157895,0.7222222222222222,0.02631578947368421,0.05263157894736842,1.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.043478260869565216,0.05263157894736842,0.0,0.23684210526315788,0.23333333333333334,0.02631578947368421,0.0,0.0,0.0,0.02631578947368421,0.0,0.02631578947368421,0.0,0.07894736842105263,0.0,0.0,0.0,0.05263157894736842,0.02631578947368421,0.05263157894736842,0.0,0.0,0.07894736842105263,0.0,0.0,0.02631578947368421,0.0,0.20689655172413793,0.0,0.02631578947368421,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.1891891891891892,0.0,0.15151515151515152,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.02631578947368421,0.0,0.0,0.0,0.03333333333333333,0.14285714285714285,0.0,0.2,0.0,0.034482758620689655,0.16666666666666666,0.05263157894736842,0.0,0.05,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.09090909090909091,0.05263157894736842,0.05263157894736842,0.0,0.0
DC2-00001,0.09090909090909091,0.36363636363636365,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAF-00367,0.0,0.6153846153846154,0.07692307692307693,0.0,0.0,0.0,0.19230769230769232,0.23076923076923078,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07692307692307693,0.07692307692307693,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.11538461538461539,0.038461538461538464,0.038461538461538464,0.11538461538461539,0.0,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.15384615384615385,0.0,0.038461538461538464,0.19230769230769232,0.0,0.038461538461538464,0.0,0.0,0.038461538461538464,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAF-00281,0.0,0.7090909090909091,0.045454545454545456,0.0,0.0,0.1724137931034483,0.21818181818181817,0.07272727272727272,0.0,0.07272727272727272,0.05454545454545454,0.0,0.0,0.0,0.05454545454545454,0.0,0.0,0.07692307692307693,1.0,0.05454545454545454,0.0,0.0,0.09090909090909091,0.0,0.05454545454545454,0.03333333333333333,0.0196078431372549,0.0,0.03636363636363636,0.13953488372093023,0.05,0.06060606060606061,0.01818181818181818,0.045454545454545456,0.0,0.18518518518518517,0.23636363636363636,0.0,0.0,0.03636363636363636,0.0,0.0,0.0,0.03636363636363636,0.21621621621621623,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.01818181818181818,0.0,0.020833333333333332,0.0,0.04,0.0,0.0,0.01818181818181818,0.01818181818181818,0.02702702702702703,0.05128205128205128,0.0,0.10909090909090909,0.023255813953488372,0.01818181818181818,0.0,0.027777777777777776,0.03333333333333333,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.13333333333333333,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0196078431372549,0.0,0.0,0.0
DAF-00419,0.06666666666666667,0.7833333333333333,0.06818181818181818,0.0,0.016666666666666666,0.034482758620689655,0.15833333333333333,0.041666666666666664,0.05263157894736842,0.038834951456310676,0.10833333333333334,0.023255813953488372,0.027777777777777776,0.015151515151515152,0.02608695652173913,0.02631578947368421,0.09090909090909091,0.07692307692307693,0.05454545454545454,1.0,0.0,0.04,0.020618556701030927,0.0,0.008333333333333333,0.0,0.0,0.0,0.008333333333333333,0.023255813953488372,0.05,0.030303030303030304,0.07042253521126761,0.0,0.109375,0.037037037037037035,0.19166666666666668,0.05128205128205128,0.0,0.056338028169014086,0.008333333333333333,0.0,0.017857142857142856,0.10344827586206896,0.08108108108108109,0.0,0.0,0.0,0.0,0.07692307692307693,0.06896551724137931,0.0,0.013513513513513514,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.02702702702702703,0.05128205128205128,0.0,0.075,0.0,0.0784313725490196,0.0,0.05555555555555555,0.1,0.043478260869565216,0.04,0.0,0.0,0.0,0.043478260869565216,0.0,0.06666666666666667,0.0,0.02857142857142857,0.03529411764705882,0.04,0.12,0.0,0.0,0.008333333333333333,0.0,0.0,0.03225806451612903,0.0,0.09090909090909091,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.08333333333333333
